"","longitude","latitude","Evals","Plot.Code"
"1",9.34106,0.58583,-0.059015180867572,"NRI_001"
"2",9.34669,0.58642,-0.0592287000234641,"NRI_001"
"3",9.34414,0.58597,-0.0590907822647568,"NRI_001"
"4",9.33844,0.58594,-0.0589921756522716,"NRI_001"
"5",9.33583,0.58578,-0.0589264499709069,"NRI_001"
"6",9.32992,0.57147,-0.0572812181792628,"NRI_002"
"7",9.32728,0.57125,-0.0574563061743912,"NRI_002"
"8",9.32469,0.57161,-0.0576789073541153,"NRI_002"
"9",9.33308,0.57192,-0.057105135002092,"NRI_002"
"10",9.33564,0.57178,-0.056902660994491,"NRI_002"
